Wallet_ID,Total_Transactions,Avg_Tx_Value,Incoming_Tx,Outgoing_Tx,Exchange_Interaction,Defi_Interaction,Suspicious_Flags,Wallet_Age,High_Risk_Label
WALLET_94,115,8973.16,581,412,56.45,46.82,11,1741,No
WALLET_95,781,8873.12,421,672,37.88,62.5,14,825,No
WALLET_96,831,7803.16,172,377,33.74,37.77,10,1002,Yes
WALLET_97,486,6427.48,47,12,89.96,83.66,9,622,Yes
WALLET_98,712,859.72,560,126,60.76,58.75,8,1167,No
WALLET_99,411,1633.05,289,352,24.44,29.4,12,1354,No
WALLET_100,739,8987.57,401,680,49.82,71.41,9,2301,Yes
WALLET_101,565,6072.16,16,94,33.03,52.76,14,347,No
WALLET_102,171,111.79,611,652,93.37,53.45,9,2426,Yes
WALLET_103,211,1032.69,306,702,0.75,48.11,6,2192,No
WALLET_104,967,6641.75,257,320,22.53,49.7,0,2775,No
WALLET_105,279,70.51,503,182,36.54,76.54,6,1376,No
WALLET_106,872,1624.86,758,544,48.78,10.3,9,1621,No
WALLET_107,825,5496.36,39,736,85.08,33.44,4,1919,No
WALLET_108,280,6925.11,731,45,8.79,7.55,5,2117,No
WALLET_109,465,6526.57,94,744,80.59,75.32,9,2026,No
WALLET_110,471,2258.21,780,708,5.57,27.23,6,1802,Yes
WALLET_111,736,7127.55,609,506,84.23,89.74,13,1342,No
WALLET_112,261,2387.75,606,149,5.16,52.66,14,1315,No
WALLET_113,711,3267.49,422,205,1.82,80.07,4,245,No
WALLET_114,305,7469.98,119,728,69.7,97.89,6,2413,No
WALLET_115,734,6503.34,621,465,99.73,83.98,8,2169,No
WALLET_116,729,8495.25,200,736,89.66,86.7,2,2430,No
WALLET_117,758,6582.98,505,756,57.6,40.8,7,2648,No
WALLET_118,347,5691.72,630,562,91.74,55.17,1,2893,Yes
WALLET_119,888,954.87,497,551,0.53,25.39,10,1734,Yes
WALLET_120,62,3689.8,79,257,97.51,19.61,6,2858,No
WALLET_121,801,2666.72,417,394,49.07,50.55,12,392,Yes
WALLET_122,931,2455.02,380,598,72.29,59.5,1,2634,No
WALLET_123,226,9730.65,424,260,82.09,33.93,14,1746,No
WALLET_124,773,3943.12,733,713,71.85,56.94,13,1223,No
WALLET_125,197,8922.62,281,454,53.5,88.75,3,385,No
WALLET_126,389,6318.76,765,14,47.66,55.67,6,220,Yes
WALLET_127,502,7952.22,680,246,83.86,72.08,2,2499,No
WALLET_128,50,5036.32,398,255,20.51,80.53,1,729,No
WALLET_129,166,5777.5,461,9,96.8,98.87,10,2084,No
WALLET_130,24,4935.33,196,123,71.1,60.32,9,2210,No
WALLET_131,822,1968.53,743,378,19.95,80.69,6,586,No
WALLET_132,74,7230.07,693,69,73.62,96.26,0,855,No
WALLET_133,866,2822.11,103,150,52.98,94.44,13,2838,No
WALLET_134,848,262.67,552,228,70.72,14.11,14,1084,No
WALLET_135,530,6461.81,100,243,76.78,40.64,7,2612,No
WALLET_136,353,1787.56,668,181,8.73,32.4,2,455,Yes
WALLET_137,138,9405.78,667,783,50.61,8.69,11,2749,No
WALLET_138,657,9540.21,194,286,93.2,63.32,11,2440,Yes
WALLET_139,481,9150.35,740,67,32.06,73.59,12,1604,Yes
WALLET_140,72,3714.18,41,221,59.39,84.81,1,2159,No
WALLET_141,148,174.26,784,799,36.92,12.28,2,2433,No
WALLET_142,508,9284.62,373,693,45.43,87.64,4,618,No
WALLET_143,602,4293.28,699,465,54.86,64.29,10,2042,No
WALLET_144,401,9667.22,529,614,54.89,70.39,7,1577,No
WALLET_145,684,9636.93,283,109,20.17,91.06,9,324,No
WALLET_146,428,8533.03,221,103,68.46,62.48,6,2015,No
WALLET_147,298,2958.6,277,515,8.79,33.59,6,1277,No
WALLET_148,388,3863.28,66,389,13.88,82.51,11,1578,No
WALLET_149,782,8514.34,600,409,0.27,36.31,6,1720,Yes
WALLET_150,499,3182.88,733,522,11.67,3.42,14,1166,No
WALLET_151,240,1711.54,346,480,47.32,83.07,7,1286,No
WALLET_152,50,5576.88,401,713,60.61,34.52,0,2094,No
WALLET_153,37,9362.82,703,649,79.43,77.38,3,389,No
WALLET_154,144,6966.38,23,775,10.67,36.28,12,2943,No
WALLET_155,210,5709.21,181,441,85.07,86.11,5,729,No
WALLET_156,849,989.82,616,27,74.6,21.95,8,477,No
WALLET_157,789,6157.77,400,569,40.85,97.45,12,2933,No
WALLET_158,939,9900.74,449,681,93.29,77.98,1,2442,No
WALLET_159,42,1418.04,237,718,99.09,11.42,0,704,No
WALLET_160,57,5192.93,80,462,20.5,56.58,12,1037,No
WALLET_161,512,8776.18,269,87,37.92,98.54,9,1379,No
WALLET_162,416,7412.87,459,149,92.64,47.11,11,2544,No
WALLET_163,583,6976.22,722,89,72.16,18.21,13,2491,No
WALLET_164,737,7030.79,739,82,4.81,48.48,1,615,No
WALLET_165,814,3607.72,388,461,78.15,51.25,6,1286,Yes
WALLET_166,108,2950.05,568,5,82.79,74.17,2,1277,No
WALLET_167,693,8097.42,510,55,75.05,69.88,9,1023,No
WALLET_168,881,8104.93,371,689,79.95,40.26,1,1465,Yes
WALLET_169,735,8673.38,148,721,82.51,21.8,13,601,No
WALLET_170,996,9134.14,73,776,18.64,64.51,10,2412,No
WALLET_171,556,5123.2,103,450,23.57,42.17,6,1275,Yes
WALLET_172,970,5025.13,400,453,63.38,13.23,12,2114,No
WALLET_173,748,7986.99,29,492,90.79,90.06,12,1018,No
WALLET_174,622,6506.64,473,38,31.62,69.12,1,307,No
WALLET_175,952,7025.63,488,352,58.83,68.32,2,1249,No
WALLET_176,471,7962.01,569,99,68.3,82.26,10,2993,No
WALLET_177,652,8902.25,155,76,45.19,52.97,6,1917,No
WALLET_178,778,3393.19,148,555,71.38,81.51,13,513,No
WALLET_179,14,3768.32,573,158,89.97,49.81,3,1295,No
WALLET_180,227,957.94,43,254,62.41,6.72,12,760,Yes
WALLET_181,512,5791.24,113,678,53.98,40.52,13,2269,No
WALLET_182,776,378.7,697,442,43.87,49.75,0,1070,No
WALLET_183,407,4666.67,46,122,57.75,72.02,12,2601,No
WALLET_184,880,5435.59,190,775,35.54,10.66,13,947,No
WALLET_185,804,2879.68,402,310,39.15,14.0,4,2478,No
WALLET_186,402,5916.52,227,272,53.19,26.37,11,915,No
WALLET_187,216,324.39,638,58,6.66,26.65,8,2782,Yes
WALLET_188,24,392.73,137,240,22.9,73.22,7,51,No
WALLET_189,867,8229.55,167,393,54.28,25.07,11,503,No
WALLET_190,563,3614.7,219,738,43.15,63.31,14,2287,No
WALLET_191,901,1288.06,737,767,33.28,49.43,8,2383,Yes
WALLET_192,470,5231.99,239,405,73.05,57.33,9,733,Yes
WALLET_193,700,7704.54,662,628,69.37,83.81,13,716,No
WALLET_194,584,2173.89,755,771,16.67,40.44,8,314,No
WALLET_195,873,6236.45,592,307,87.86,77.09,14,745,No
WALLET_196,752,871.77,13,211,49.54,42.2,6,792,No
WALLET_197,250,535.78,78,233,74.15,35.39,3,1280,No
WALLET_198,573,5322.92,496,582,57.32,95.86,4,977,No
WALLET_199,105,5415.54,257,79,99.77,18.44,0,2458,No
WALLET_200,909,6381.55,234,439,75.24,9.03,13,2537,Yes
